hidden_size,learning_rate,num_layers,test_accuracy,epoch_losses,epoch_accuracies,epoch_precisions
128,0.01,2,65.21739130434783,"[1.5464374621709187, 1.371038019657135, 1.2272145350774128, 0.9762246410051981, 0.8532089491685232, 1.2116638918717701, 1.1318077743053436, 1.0487868587176006, 0.7850684324900309, 1.0233128070831299, 1.0447276135285695, 0.9398981928825378, 0.7801369031270345, 0.6548504879077276, 0.8108563075462977, 0.8764083484808604, 0.7550126413504282, 0.7062873343626658, 0.6192722866932551, 0.6947645346323649]","[33.70165745856354, 50.27624309392265, 51.38121546961326, 61.32596685082873, 64.08839779005525, 59.668508287292816, 60.22099447513812, 68.50828729281768, 72.92817679558011, 60.22099447513812, 55.80110497237569, 59.668508287292816, 72.37569060773481, 72.92817679558011, 69.61325966850829, 65.19337016574586, 65.19337016574586, 72.37569060773481, 75.69060773480663, 72.37569060773481]","[0.3731884057971015, 0.31807780320366136, 0.44068322981366453, 0.6305542283803153, 0.6605848861283644, 0.6914251207729469, 0.7648378191856453, 0.8055830039525691, 0.7780320366132724, 0.4945652173913043, 0.527432712215321, 0.5883067782878747, 0.846947738252086, 0.7507246376811594, 0.638768115942029, 0.6493271221532091, 0.6337792642140468, 0.7472889429411168, 0.7083850931677019, 0.661371237458194]"
128,0.01,3,58.69565217391305,"[1.650272250175476, 1.514645516872406, 1.5143209099769592, 1.457781235376994, 1.275887668132782, 1.1320874293645222, 1.1488737265268962, 1.0575830737749736, 0.9146638413270315, 0.9679134587446848, 0.9795765082041422, 0.984912117322286, 0.7826346158981323, 0.8211431602636973, 0.8696626325448354, 0.7619535426298777, 0.8087506790955862, 0.701798657576243, 0.8931288768847784, 1.0462022125720978]","[20.441988950276244, 38.12154696132597, 40.331491712707184, 35.91160220994475, 56.353591160220994, 56.353591160220994, 64.08839779005525, 60.773480662983424, 61.32596685082873, 60.22099447513812, 54.69613259668508, 61.87845303867403, 68.50828729281768, 64.64088397790056, 62.98342541436464, 74.03314917127072, 69.06077348066299, 75.69060773480663, 70.1657458563536, 50.828729281767956]","[0.18350383631713554, 0.1884881422924901, 0.17263427109974425, 0.43816425120772956, 0.477238944630249, 0.5809364548494983, 0.5169792554703041, 0.5408385093167702, 0.6779980107985224, 0.6480635732553892, 0.747840022296544, 0.6779891304347826, 0.7080745341614907, 0.7992753623188406, 0.5023763421932759, 0.7315217391304347, 0.7918478260869565, 0.6288819875776398, 0.7529644268774704, 0.7663043478260869]"
128,0.001,2,80.43478260869566,"[1.5843527913093567, 1.4416902661323547, 1.1258416374524434, 0.8595213095347086, 0.7815756301085154, 0.7451718846956888, 0.8015081882476807, 0.8861334870258967, 0.8988547424475352, 0.7038105229536692, 0.568374236424764, 0.5022223740816116, 0.431177814801534, 0.44859057664871216, 0.6437981476386389, 0.5643932123978933, 0.48038264115651447, 0.45117848614851636, 0.5512621998786926, 0.43339648346106213]","[34.25414364640884, 56.353591160220994, 59.668508287292816, 65.74585635359117, 71.2707182320442, 71.8232044198895, 71.2707182320442, 67.95580110497238, 71.2707182320442, 77.34806629834254, 80.66298342541437, 81.21546961325967, 86.74033149171271, 83.97790055248619, 79.00552486187846, 78.45303867403315, 83.97790055248619, 84.5303867403315, 81.76795580110497, 85.0828729281768]","[0.3555900621118013, 0.5795031055900621, 0.5584541062801932, 0.768478260869565, 0.7518115942028984, 0.8244565217391304, 0.8328502415458937, 0.7321374277896018, 0.7503176171654431, 0.8347135955831607, 0.7791898922333705, 0.811013563730955, 0.8062111801242237, 0.7590301003344482, 0.8388975155279503, 0.821256038647343, 0.8588054457619675, 0.8194616977225673, 0.8426846100759144, 0.863670146278842]"
128,0.001,3,78.26086956521739,"[1.6058993140856426, 1.447391430536906, 1.1465761164824169, 0.8996343910694122, 0.8408726751804352, 0.837160607179006, 0.8466593623161316, 1.320354123910268, 1.068554848432541, 1.0194715559482574, 0.9517943759759268, 1.0257944961388905, 0.9122685194015503, 0.7582874397436777, 0.6597082118193308, 0.6738694508870443, 0.5379143009583155, 0.521528755625089, 0.40916188557942706, 0.45078785717487335]","[20.994475138121548, 49.72375690607735, 57.4585635359116, 67.95580110497238, 70.1657458563536, 67.95580110497238, 69.61325966850829, 44.19889502762431, 55.248618784530386, 54.69613259668508, 62.430939226519335, 61.32596685082873, 64.64088397790056, 76.79558011049724, 74.58563535911603, 75.13812154696133, 81.76795580110497, 84.5303867403315, 85.6353591160221, 82.32044198895028]","[0.21987577639751552, 0.39055472263868063, 0.6067193675889327, 0.6204278812974465, 0.7185206098249577, 0.638628762541806, 0.5826086956521739, 0.5436872909698997, 0.6312629399585922, 0.5836438923395445, 0.529399585921325, 0.6874767744332962, 0.7381815044858522, 0.7195994223168135, 0.6893975589627763, 0.7905797101449276, 0.7704451345755693, 0.7425678186547752, 0.8279821627647713, 0.7980570154483198]"
128,0.0001,2,76.08695652173913,"[1.6067441701889038, 1.5949175159136455, 1.5868547558784485, 1.5782354076703389, 1.5654831727345784, 1.5536350806554158, 1.5417491992314656, 1.518024245897929, 1.4899911880493164, 1.4553786913553874, 1.394704004128774, 1.3101850748062134, 1.1906615495681763, 1.0781151254971821, 0.9608656267325083, 0.8665857414404551, 0.7892219523588816, 0.7305972973505656, 0.6712802598873774, 0.6471954882144928]","[24.30939226519337, 40.331491712707184, 38.67403314917127, 39.226519337016576, 40.331491712707184, 43.0939226519337, 45.85635359116022, 55.80110497237569, 58.011049723756905, 59.11602209944751, 59.668508287292816, 59.668508287292816, 60.773480662983424, 62.430939226519335, 66.29834254143647, 69.06077348066299, 72.37569060773481, 72.92817679558011, 76.79558011049724, 74.58563535911603]","[0.2584372149589541, 0.18873517786561264, 0.1872463768115942, 0.18896321070234112, 0.1992753623188406, 0.4585346215780998, 0.4587456910930724, 0.4137336093857833, 0.4081075404326822, 0.38509316770186336, 0.4040741866828823, 0.42509621385479507, 0.5104134995439342, 0.57324016563147, 0.5677536231884058, 0.6334541062801933, 0.6432046214654911, 0.6485507246376812, 0.7948585231193926, 0.7707357859531774]"
128,0.0001,3,82.6086956521739,"[1.604002594947815, 1.5983301202456157, 1.594336251417796, 1.58692600329717, 1.5785778363545735, 1.5704310139020283, 1.5607899030049641, 1.5340283711751301, 1.4980183045069377, 1.4397064447402954, 1.3547931512196858, 1.2337364951769512, 1.0782173077265422, 0.9568323890368143, 0.8532434503237406, 0.7708950539429983, 0.7566580772399902, 0.6778422246376673, 0.6101510922114054, 0.5520694355169932]","[21.54696132596685, 21.54696132596685, 25.96685082872928, 40.331491712707184, 50.828729281767956, 59.668508287292816, 61.32596685082873, 60.22099447513812, 55.248618784530386, 53.03867403314917, 53.591160220994475, 54.69613259668508, 61.87845303867403, 63.53591160220994, 66.29834254143647, 66.85082872928177, 67.40331491712708, 74.03314917127072, 83.97790055248619, 86.74033149171271]","[0.04725897920604915, 0.04725897920604915, 0.3138918345705196, 0.375098814229249, 0.410622944830106, 0.42274844720496896, 0.40898583513673026, 0.3949275362318841, 0.3453416149068323, 0.3807316404822799, 0.4222689075630252, 0.4416475972540046, 0.43987365291713115, 0.517391304347826, 0.517391304347826, 0.517391304347826, 0.613095238095238, 0.7968227424749164, 0.8566053511705686, 0.8421125975473802]"
256,0.01,2,69.56521739130434,"[1.7251044710477192, 1.5824084281921387, 1.5868346492449443, 1.4402422308921814, 1.3609660665194194, 1.1806996862093608, 0.9935796956221262, 1.05883984764417, 1.1181483169396718, 0.9559582670529684, 0.9078076084454855, 0.7830316424369812, 0.8219843804836273, 0.6116767177979151, 0.5853417764107386, 0.8870161672433218, 0.8667919139067332, 0.7026696602503458, 0.5923463453849157, 0.536932905515035]","[26.519337016574585, 23.204419889502763, 39.77900552486188, 43.0939226519337, 42.5414364640884, 53.591160220994475, 62.98342541436464, 63.53591160220994, 51.38121546961326, 66.29834254143647, 62.98342541436464, 71.2707182320442, 71.8232044198895, 76.24309392265194, 82.32044198895028, 65.74585635359117, 62.430939226519335, 72.37569060773481, 79.00552486187846, 80.66298342541437]","[0.4690016103059581, 0.23545150501672243, 0.27785326086956524, 0.3695652173913043, 0.5254046677959722, 0.6895703933747412, 0.6498274672187716, 0.8058823529411765, 0.7282794500185805, 0.5804951690821256, 0.7744565217391305, 0.8327246247642668, 0.7321229495142537, 0.813664596273292, 0.7803312629399585, 0.4992753623188406, 0.7726017943409249, 0.8472990777338604, 0.7861024844720497, 0.727621483375959]"
256,0.01,3,43.47826086956522,"[1.9608450333277385, 1.6198100248972576, 1.5957441727320354, 1.59060400724411, 1.569643537203471, 1.535099724928538, 1.5321247975031536, 1.5196778972943623, 1.543116569519043, 1.4522283871968586, 1.4271613558133442, 1.3670992453893025, 1.3058925072352092, 1.2961033185323079, 1.3045438130696614, 1.3411653836568196, 1.4201957782109578, 1.3175894618034363, 1.3808520634969075, 1.311591903368632]","[20.441988950276244, 23.204419889502763, 22.65193370165746, 25.414364640883978, 25.414364640883978, 30.386740331491712, 33.70165745856354, 33.149171270718234, 30.939226519337016, 37.569060773480665, 38.12154696132597, 41.988950276243095, 41.988950276243095, 41.988950276243095, 38.12154696132597, 38.12154696132597, 34.25414364640884, 42.5414364640884, 37.569060773480665, 38.12154696132597]","[0.023156899810964086, 0.057183364839319475, 0.06805293005671077, 0.06805293005671077, 0.06805293005671077, 0.20557368374636215, 0.3138918345705196, 0.21632375776397517, 0.32349896480331264, 0.29506374632232757, 0.32502651113467657, 0.2739913826870349, 0.24903381642512074, 0.25378244943462336, 0.2560386473429952, 0.3272946859903382, 0.23854289071680376, 0.32502651113467657, 0.32684706597750074, 0.29260869565217396]"
256,0.001,2,63.04347826086956,"[1.5468380451202393, 1.184030403693517, 0.954350084066391, 0.8575488328933716, 0.6485874652862549, 0.5094611793756485, 0.5403497318426768, 0.5359139119585355, 0.6237548738718033, 0.42680707077185315, 0.4557836403449376, 0.3392100508014361, 0.8152592827876409, 1.3081751465797424, 0.9135390569766363, 0.6847843726476034, 0.5971070577700933, 0.4975690543651581, 0.5883579899867376, 1.1892475883165996]","[34.806629834254146, 58.56353591160221, 64.64088397790056, 67.40331491712708, 77.34806629834254, 81.76795580110497, 81.21546961325967, 82.32044198895028, 77.90055248618785, 82.87292817679558, 86.1878453038674, 88.95027624309392, 75.69060773480663, 55.80110497237569, 64.08839779005525, 72.92817679558011, 75.13812154696133, 78.45303867403315, 77.34806629834254, 53.591160220994475]","[0.3815170336909467, 0.6162055335968379, 0.6369927536231884, 0.7595621769534814, 0.8514746123441775, 0.7891304347826086, 0.8813823857302118, 0.8078839638622246, 0.8386387163561075, 0.8543478260869565, 0.8579545454545455, 0.8463396506874767, 0.655072463768116, 0.5583286278938452, 0.6024475524475524, 0.8010697032436163, 0.7239130434782608, 0.6740777338603425, 0.7114906832298137, 0.751358695652174]"
256,0.001,3,78.26086956521739,"[1.5772530635197957, 1.2859846750895183, 0.9000820815563202, 0.7892530759175619, 1.1689841548601787, 1.0097172955671947, 0.8450137674808502, 0.7274766465028127, 0.6928180456161499, 0.591359610358874, 0.6140570094188055, 0.7299816409746805, 0.6185879011948904, 0.5487810969352722, 0.47441521286964417, 0.3713713809847832, 0.403742050131162, 0.36856624235709506, 0.4592251380284627, 0.4230211426814397]","[28.7292817679558, 49.72375690607735, 67.95580110497238, 74.03314917127072, 66.85082872928177, 58.011049723756905, 71.2707182320442, 78.45303867403315, 76.79558011049724, 79.55801104972376, 77.90055248618785, 72.92817679558011, 76.79558011049724, 79.00552486187846, 82.32044198895028, 86.1878453038674, 85.0828729281768, 85.6353591160221, 83.42541436464089, 83.42541436464089]","[0.39123964803312633, 0.5519323671497584, 0.5737876254180602, 0.7733695652173914, 0.7316770186335404, 0.8012331553521485, 0.6126482213438734, 0.7638187899057465, 0.6309921962095875, 0.8204874835309618, 0.6912447455925717, 0.7351588628762542, 0.7467239530858457, 0.7949414715719064, 0.8240484153527632, 0.8386473429951692, 0.8482495765104462, 0.8386473429951692, 0.8232323232323232, 0.8638318203535595]"
